PassengerId,Survived,Probability
892,0,0.13776838510392778
893,1,0.995071890722843
894,0,0.085224426548932
895,0,0.07642364547671406
896,0,0.48505186632898994
897,0,0.0490427443400798
898,0,0.2013755384590446
899,0,0.19219080567347296
900,1,0.9444780064258054
901,0,0.04420408359210103
902,0,0.042920042655650144
903,0,0.07953325832794853
904,1,0.9817157054293346
905,0,0.12544712977892328
906,1,0.9817157054293346
907,1,0.9517040632337957
908,0,0.08958136285723435
909,0,0.1532561432422619
910,0,0.28432539385627
911,1,0.9444780064258054
912,0,0.1306200460271584
913,0,0.03996445597023345
914,1,0.969047134381772
915,0,0.14098136308737444
916,1,0.990655674219741
917,0,0.3853127304664886
918,1,0.9867435675616786
919,0,0.1532561432422619
920,0,0.3998568299960424
921,0,0.06309721997660872
922,0,0.12544712977892328
923,0,0.19375221350040994
924,1,0.8769012047707704
925,0,0.09640974536547162
926,1,0.7895696779671216
927,0,0.1532561432422619
928,0,0.1588894950850135
929,0,0.12974465629747858
930,0,0.1379684681371253
931,1,0.8674159398105095
932,0,0.15454193051266554
933,0,0.43622898905726437
934,0,0.10542545262951934
935,1,0.8694583756476176
936,1,0.9962946532650374
937,0,0.25751485494538584
938,0,0.4719917749368895
939,0,0.08150931927569431
940,1,0.9867435675616786
941,1,0.9788304824983345
942,0,0.2898001698006422
943,0,0.06986713645787329
944,1,0.9268828114609664
945,1,0.9888479342236913
946,0,0.11943720198251571
947,0,0.04381276413701552
948,0,0.042920042655650144
949,0,0.04404470348480875
950,0,0.16209314529713348
951,1,0.9911338263140747
952,0,0.042920042655650144
953,0,0.083583085941423
954,0,0.08399616830240529
955,1,0.7843161161457279
956,0,0.11709244442790852
957,0,0.41856219303758213
958,1,0.9235433954221641
959,0,0.125927931936795
960,0,0.4619087638536772
961,1,0.9877504179720827
962,1,0.7553463863086317
963,0,0.042920042655650144
964,0,0.39249866285800633
965,0,0.3479138629323904
966,1,0.9911338263140747
967,0,0.06325219765425527
968,0,0.098885006439833
969,1,0.9097093101834336
970,0,0.12092694778872479
971,1,0.7553463863086317
972,1,0.5189151232436932
973,0,0.05447288404532336
974,0,0.07953325832794853
975,0,0.042920042655650144
976,0,0.085224426548932
977,0,0.15381693829549092
978,1,0.9235433954221641
979,0,0.1588894950850135
980,1,0.7553463863086317
981,0,0.1271824582037088
982,0,0.2496576274509323
983,0,0.10542545262951934
984,1,0.8678505941141413
985,0,0.098885006439833
986,0,0.08691420345857143
987,0,0.10542545262951934
988,1,0.9709919181499045
989,0,0.25751485494538584
990,0,0.3615389754859875
991,0,0.098885006439833
992,1,0.9854721358996006
993,0,0.12544712977892328
994,0,0.08150931927569431
995,0,0.10542545262951934
996,0,0.39043972729953497
997,0,0.09342360024825865
998,0,0.13776838510392778
999,0,0.08150931927569431
1000,0,0.04883513555425884
1001,0,0.4936907443283638
1002,0,0.06986713645787329
1003,1,0.8142465619000376
1004,1,0.9746457407327482
1005,1,0.562145347728382
1006,1,0.9877504179720827
1007,0,0.15381693829549092
1008,0,0.049946893380886474
1009,1,0.8975793622692474
1010,0,0.37445405173207513
1011,1,0.9182252365924621
1012,1,0.9698768573581741
1013,0,0.05536465110374408
1014,1,0.9862347217169893
1015,0,0.031975392932854355
1016,0,0.08150931927569431
1017,1,0.9461043320871493
1018,0,0.10542545262951934
1019,1,0.9044654514616725
1020,0,0.12092694778872479
1021,0,0.098885006439833
1022,0,0.098885006439833
1023,0,0.4619087638536772
1024,0,0.08096708499840884
1025,0,0.03652442385061797
1026,0,0.042920042655650144
1027,0,0.10542545262951934
1028,0,0.1532561432422619
1029,0,0.12092694778872479
1030,0,0.1588894950850135
1031,0,0.08705802707087698
1032,0,0.023036241250524312
1033,1,0.9863410325357174
1034,0,0.08641029570620147
1035,0,0.07953325832794853
1036,0,0.3047856170742959
1037,0,0.13749182240899296
1038,0,0.13230308858854908
1039,0,0.098885006439833
1040,0,0.3047856170742959
1041,0,0.12544712977892328
1042,1,0.9867435675616786
1043,0,0.26796535271466426
1044,0,0.03632931142559538
1045,1,0.8265787106418454
1046,1,0.5732451709519996
1047,0,0.031975392932854355
1048,1,0.990167711597646
1049,0,0.3615389754859875
1050,0,0.43622898905726437
1051,1,0.7950311351402681
1052,1,0.8893347047726908
1053,1,0.5189151232436932
1054,1,0.9398786633697312
1055,0,0.3441436757557751
1056,0,0.12092694778872479
1057,0,0.4636054109732029
1058,0,0.2213386854043742
1059,0,0.08382424322646521
1060,1,0.9540069143561202
1061,0,0.18673473415596617
1062,0,0.031975392932854355
1063,0,0.1532561432422619
1064,0,0.12140117882002369
1065,0,0.1532561432422619
1066,0,0.19219080567347296
1067,1,0.9841539775941983
1068,1,0.9841539775941983
1069,1,0.7977255848784065
1070,1,0.997453764998978
1071,1,0.9867435675616786
1072,0,0.12092694778872479
1073,1,0.5767959759602478
1074,1,0.8299181341810625
1075,0,0.08150931927569431
1076,1,0.9906717247973146
1077,0,0.31804514544269863
1078,0,0.41856219303758213
1079,0,0.057925380802445976
1080,0,0.03684926753793519
1081,0,0.12092694778872479
1082,0,0.12544712977892328
1083,0,0.07953325832794853
1084,0,0.3853127304664886
1085,0,0.08958136285723435
1086,0,0.27404564455773633
1087,0,0.10542545262951934
1088,0,0.13429440006483484
1089,0,0.2230006714007245
1090,0,0.1379684681371253
1091,0,0.09642038747893489
1092,1,0.9167445415083122
1093,0,0.03632931142559538
1094,0,0.08641029570620147
1095,1,0.9182252365924621
1096,0,0.1379684681371253
1097,0,0.08691420345857143
1098,1,0.7553463863086317
1099,0,0.1379684681371253
1100,1,0.9582358608703295
1101,0,0.042920042655650144
1102,0,0.09342360024825865
1103,0,0.04000664933511998
1104,0,0.14273316327088903
1105,1,0.9182252365924621
1106,1,0.8849203819170999
1107,0,0.17482737854135763
1108,1,0.9235433954221641
1109,0,0.3054016565384778
1110,1,0.9906717247973146
1111,0,0.098885006439833
1112,1,0.9528190539975729
1113,0,0.098885006439833
1114,1,0.9757682041114901
1115,0,0.10542545262951934
1116,1,0.9540069143561202
1117,0,0.15670684494932252
1118,0,0.10542545262951934
1119,1,0.7553463863086317
1120,0,0.050133984634632776
1121,0,0.12092694778872479
1122,0,0.14273316327088903
1123,1,0.9732323427630593
1124,0,0.032418940671644435
1125,0,0.14320200774521705
1126,1,0.5881498946247183
1127,0,0.10542545262951934
1128,1,0.5881498946247183
1129,0,0.1532561432422619
1130,1,0.7622437384150612
1131,1,0.9356955936425226
1132,1,0.9540069143561202
1133,1,0.969047134381772
1134,0,0.24810915898932476
1135,0,0.042920042655650144
1136,0,0.10887560137797907
1137,0,0.32421471721087836
1138,0,0.41856219303758213
1139,0,0.19219080567347296
1140,1,0.9182252365924621
1141,0,0.09127560119361719
1142,1,0.9601157690748008
1143,0,0.25751485494538584
1144,0,0.24810915898932476
1145,0,0.1269173954933626
1146,0,0.1379684681371253
1147,0,0.031975392932854355
1148,0,0.08150931927569431
1149,0,0.098885006439833
1150,1,0.8694583756476176
1151,0,0.10542545262951934
1152,0,0.16209314529713348
1153,0,0.10542545262951934
